,0,1,2,3,4,5,6
260,10.0,10.0,5.0,0.8,0.85,3.790701975463056,0.37010265419162436
261,10.0,10.0,10.0,0.7,0.75,3.788142594639043,0.37287637911649946
262,10.0,10.0,10.0,0.7,0.8,3.787614847416339,0.37290843699025245
263,10.0,10.0,10.0,0.7,0.85,3.788675902823404,0.37215907773246165
264,10.0,10.0,10.0,0.75,0.75,3.7906677872296366,0.3697077784794658
265,10.0,10.0,10.0,0.75,0.8,3.7904473731402426,0.370054674848201
266,10.0,10.0,10.0,0.75,0.85,3.790386090060605,0.36985862235184946
267,10.0,10.0,10.0,0.8,0.75,3.7930116572907244,0.3706279462675412
268,10.0,10.0,10.0,0.8,0.8,3.7945925297179537,0.3690243224717607
269,10.0,10.0,10.0,0.8,0.85,3.7995306960223605,0.37014464140129183
270,10.0,10.0,25.0,0.7,0.75,3.7838668930539345,0.37288000737839166
271,10.0,10.0,25.0,0.7,0.8,3.784514849325811,0.37458317780329003
272,10.0,10.0,25.0,0.7,0.85,3.789336977814729,0.3715029713999748
273,10.0,10.0,25.0,0.75,0.75,3.7806755914616286,0.3752077353994605
274,10.0,10.0,25.0,0.75,0.8,3.7807125323607194,0.3748823337671825
275,10.0,10.0,25.0,0.75,0.85,3.7869253473503868,0.37342440729283677
276,10.0,10.0,25.0,0.8,0.75,3.7792701868145517,0.37338360137522714
277,10.0,10.0,25.0,0.8,0.8,3.782211541191657,0.3733336088260608
278,10.0,10.0,25.0,0.8,0.85,3.781904378991992,0.3730945861832424
279,10.0,10.0,50.0,0.7,0.75,3.7812994785847773,0.3760498373560285
280,10.0,10.0,50.0,0.7,0.8,3.7824132658588763,0.37501650398618225
281,10.0,10.0,50.0,0.7,0.85,3.7806741123975085,0.3760280885873359
282,10.0,10.0,50.0,0.75,0.75,3.7831847395200624,0.37483034455316666
283,10.0,10.0,50.0,0.75,0.8,3.7821581963178983,0.3745123264610283
284,10.0,10.0,50.0,0.75,0.85,3.7743762851069897,0.37992944128787776
285,10.0,10.0,50.0,0.8,0.75,3.7800613655710316,0.37639307671913763
286,10.0,10.0,50.0,0.8,0.8,3.7809132282483264,0.3758451654265902
287,10.0,10.0,50.0,0.8,0.85,3.778018723818738,0.37716127760590534
288,20.0,0.0,5.0,0.7,0.75,3.815652828495473,0.3521251637541726
289,20.0,0.0,5.0,0.7,0.8,3.8171541916996246,0.35241471567727345
290,20.0,0.0,5.0,0.7,0.85,3.821134970908346,0.3468756310780192
291,20.0,0.0,5.0,0.75,0.75,3.8138482681971286,0.3497797628850666
292,20.0,0.0,5.0,0.75,0.8,3.8163505094969588,0.34747704435305926
293,20.0,0.0,5.0,0.75,0.85,3.8244114663250954,0.34799001266944146
294,20.0,0.0,5.0,0.8,0.75,3.822169781418764,0.34641391630175655
295,20.0,0.0,5.0,0.8,0.8,3.820159640005608,0.35068187599219536
296,20.0,0.0,5.0,0.8,0.85,3.824429697598046,0.3440237505426509
297,20.0,0.0,10.0,0.7,0.75,3.8026734045737336,0.3597560905210984
298,20.0,0.0,10.0,0.7,0.8,3.8090534009029584,0.3567653657893222
299,20.0,0.0,10.0,0.7,0.85,3.8022876458216164,0.36074503202252595
300,20.0,0.0,10.0,0.75,0.75,3.8075775915891836,0.35672100170356713
301,20.0,0.0,10.0,0.75,0.8,3.8051098828359677,0.3562099465345
302,20.0,0.0,10.0,0.75,0.85,3.8103895037870985,0.35387425089148206
303,20.0,0.0,10.0,0.8,0.75,3.8067443469559095,0.35717878546755744
304,20.0,0.0,10.0,0.8,0.8,3.8140588423817343,0.3510784447000052
305,20.0,0.0,10.0,0.8,0.85,3.811951892140823,0.352872017500127
306,20.0,0.0,25.0,0.7,0.75,3.795072749998716,0.3638390183145031
307,20.0,0.0,25.0,0.7,0.8,3.798327928732647,0.3627342572392064
308,20.0,0.0,25.0,0.7,0.85,3.797611725171242,0.3647634018775732
309,20.0,0.0,25.0,0.75,0.75,3.7931835326509926,0.3656330276428817
310,20.0,0.0,25.0,0.75,0.8,3.7942019080102276,0.3652379221456904
311,20.0,0.0,25.0,0.75,0.85,3.7982903480383827,0.3640635584800692
312,20.0,0.0,25.0,0.8,0.75,3.7986200453617833,0.36434100875216346
313,20.0,0.0,25.0,0.8,0.8,3.7973180807812064,0.3639963891175501
314,20.0,0.0,25.0,0.8,0.85,3.7977414318783786,0.363531126452028
315,20.0,0.0,50.0,0.7,0.75,3.7829455268599865,0.37332264336710597
316,20.0,0.0,50.0,0.7,0.8,3.7845158477026617,0.37141693136576526
317,20.0,0.0,50.0,0.7,0.85,3.786187801769552,0.3745272786927452
318,20.0,0.0,50.0,0.75,0.75,3.7835351795731427,0.37413058633593377
319,20.0,0.0,50.0,0.75,0.8,3.7837900802546276,0.3722474108288518
320,20.0,0.0,50.0,0.75,0.85,3.7874303703886136,0.369285210242585
321,20.0,0.0,50.0,0.8,0.75,3.7822123701593178,0.3731290860922477
322,20.0,0.0,50.0,0.8,0.8,3.786580605353458,0.3713396374993816
323,20.0,0.0,50.0,0.8,0.85,3.7911563027091777,0.36979265456685595
324,20.0,0.5,5.0,0.7,0.75,3.8124115062801405,0.3537378185333223
325,20.0,0.5,5.0,0.7,0.8,3.8199924705418686,0.34828222961358124
326,20.0,0.5,5.0,0.7,0.85,3.821012794029659,0.34820895720795747
327,20.0,0.5,5.0,0.75,0.75,3.814641920730604,0.3517196720369403
328,20.0,0.5,5.0,0.75,0.8,3.824687260920445,0.34895604159828086
329,20.0,0.5,5.0,0.75,0.85,3.825223483542216,0.34641994179013663
330,20.0,0.5,5.0,0.8,0.75,3.8100492689437613,0.35293943295386326
331,20.0,0.5,5.0,0.8,0.8,3.8256963456123754,0.344663463991935
332,20.0,0.5,5.0,0.8,0.85,3.819234942354999,0.34892593625498536
333,20.0,0.5,10.0,0.7,0.75,3.808323176696261,0.35758060354783916
334,20.0,0.5,10.0,0.7,0.8,3.8078648441103575,0.3592213504037861
335,20.0,0.5,10.0,0.7,0.85,3.8128982056418295,0.35384127516603414
336,20.0,0.5,10.0,0.75,0.75,3.813544808151269,0.35382476608142704
337,20.0,0.5,10.0,0.75,0.8,3.8092137435947953,0.35488958511266866
338,20.0,0.5,10.0,0.75,0.85,3.8131180066643764,0.3542792760289072
339,20.0,0.5,10.0,0.8,0.75,3.806114817666954,0.3564905359454439
340,20.0,0.5,10.0,0.8,0.8,3.816506365307216,0.35133817774634696
341,20.0,0.5,10.0,0.8,0.85,3.8120078942263262,0.35355165006461586
342,20.0,0.5,25.0,0.7,0.75,3.790028148323512,0.36864880254717164
343,20.0,0.5,25.0,0.7,0.8,3.7974554003113314,0.36295690745059667
344,20.0,0.5,25.0,0.7,0.85,3.7932070682988965,0.3645411473831668
345,20.0,0.5,25.0,0.75,0.75,3.795149780863607,0.3636793920109828
346,20.0,0.5,25.0,0.75,0.8,3.794210821636678,0.3638940140026313
347,20.0,0.5,25.0,0.75,0.85,3.7989944608127324,0.36436891276278516
348,20.0,0.5,25.0,0.8,0.75,3.797121853109984,0.3635095471632618
349,20.0,0.5,25.0,0.8,0.8,3.7962351329315966,0.3664916899764912
350,20.0,0.5,25.0,0.8,0.85,3.7997725550609456,0.36113817827079436
